Character
Rick Grimes
Shane Walsh
Lori Grimes
Andrea
Dale Horvath
Glenn Rhee
Carl Grimes
Daryl Dixon
Carol Peletier
Maggie Greene
Michonne
Hershel Greene
Merle Dixon
The Governor
Beth Greene
Tyreese Williams
Sasha Williams
Bob Stookey
Abraham Ford
Eugene Porter
Rosita Espinosa
Tara Chambler
Gareth
Gabriel Stokes
Morgan Jones
Jessie Anderson
Aaron
Spencer Monroe
Deanna Monroe
Negan
Dwight
"Paul ""Jesus"" Rovia"
Gregory
Ezekiel
Simon
Enid
Jadis / Anne
Alden
Siddiq
Alpha
